"Chocolate Fudge","110.0","4.5","25","0"
"Chocolate Gelato","140.0","54","21","0"
"Cinnamon Honey","120.0","27","19","0"
"Coffee","80.0","0","18","0"
"Cookies n Cream","110.0","0","24","0"
"Cotton Candy","100.0","0","22","0"
"Country Vanilla","100.0","0","22","0"
"Creamy Limoncello Gelato","140.0","54","20","0"
"Creamy Mint Cookie","110.0","0","24","0"
"Dulce De Leche (Caramel)","110.0","14","22","0"
"Dutch Chocolate","120.0","23","20","0"
"Eggnog","100.0","0","22","0"
"Euro Tart","80.0","0","19","0"
"Fancy French Vanilla","100.0","0","20","0"
"French Vanilla","110.0","23","19","0"
"Fudge Brownie Batter","110.0","4.5","24","0"
"Georgia Peach","100.0","0","22","0"
"Graham Cracker","100.0","0","22","0"
"Green Apple","90.0","0","22","0"
"Hawaiian Pineapple","100.0","0","21","0"
"Hazelnut Gelato","140.0","54","20","0"
"Irish Cream","80.0","0","19","0"
"Irish Mint","100.0","0","22","0"
"Island Banana","100.0","0","22","0"
"Key Lime","90.0","0","23","0"
"Kiwi Strawberry","80.0","0","22","0"
"Mango Sunrise","80.0","0","21","0"
"Milk Chocolate","120.0","14","23","0"
"Mountain Blackberry","100.0","0","22","0"
"New York Cheesecake","100.0","0","21","0"
"Orange Splash","80.0","0","21","0"
"Orchard Cherry","100.0","0","22","0"
"Original Tart","90.0","0","20","0"
"Original Tart Pomegranate Raspberry","110.0","0","23","0"
"Peanut Butter","120.0","36","19","0"
"Pecan Praline","90.0","0","22","0"
"Peppermint Stick","100.0","0","22","0"
"Pink Lemonade","80.0","0","21","0"
"Pistachio","100.0","0","22","0"
"Pistachio Gelato","140.0","54","20","0"
"Plain","100.0","0","21","0"
"POG (Passion Orange Guava)","80.0","0","22","0"
"Pomegranate Raspberry","100.0","0","22","0"
"Praline","80.0","0","19","0"
"Pumpkin","100.0","0","23","0"
"Raspberry","80.0","0","17","0"
"Raspberry Lime Mojito","90.0","0","21","0"
"Red Velvet Cake","110.0","14","22","0"
"Rootbeer Float","100.0","0","22","0"
"Salted Caramel Corn","110.0","9","22","0"
"Salted Caramel Pretzel","110.0","14","22","0"
"Silk Almondmilk Vanilla","110.0","18","24","0"
"Simply Tart","100.0","0","21","0"
"SToK Cold Brew Coffee Gelato","120.0","32","19","0"
"Strawberry","80.0","0","17","0"
"Strawberry Banana","80.0","0","18","0"
"Strawberry Lemonade","80.0","0","21","0"
"Strawberry Shortcake","100.0","14","20","0"
"Sweet Coconut","100.0","4.5","22","0"
"Tiramisu Gelato","140.0","54","20","0"
"Toasted Marshmallow","100.0","0","22","0"
"Vanilla","80.0","0","18","0"
"Vanilla Bean Gelato","140.0","54","20","0"
"Vanilla Custard","170.0","81","18","0"
"Very Berry","80.0","0","21","0"
"Very Raspberry","100.0","0","21","0"
"Very Strawberry","100.0","0","22","0"
"Watermelon","90.0","0","22","0"
"White Chocolate Mousse","100.0","0","23","0"
"White Vanilla","110.0","27","19","0"
"Yellow Cake Batter","80.0","0","18","0"
"Al Pastor Wrap","850.0","414","72","0"
"Applesauce","80.0","0","20","0"
"Avocado Sandwich","980.0","486","111","0"
"Avocado Sandwich (Half Portion)","490.0","243","56","0"
"BBQ Melt","1100.0","405","118","0"
"BBQ Melt (Half Portion)","550.0","207","59","0"
"Beef Chili","210.0","72","18","0"
"Big Easy","1280.0","621","106","0"
"Big Easy (Half Portion)","640.0","315","53","0"
"Big Jake","980.0","405","109","0"
"Big Jake (Half Portion)","490.0","198","55","0"
"BLAT","nan","nan","nan","0"
"BLT","1200.0","837","43","0"
"Cali Tuna","1270.0","639","109","0"
"Cali Tuna (Half Portion)","640.0","324","55","0"
"Cheese Sandwich made with Cream Cheese","690.0","252","101","0"
"Cheese Sandwich made with Cream Cheese (Half Portion)","350.0","126","51","0"
"Cheese Sandwich made with Sliced Cheese","980.0","522","97","0"
"Cheese Sandwich made with Sliced Cheese (Half Portion)","490.0","261","49","0"
